,Tightness,VectorCount
0,2.3034932850460264,282
1,2.15193765116904,305
2,1.4550208319103943,605
3,1.8729513965694073,223
4,1.7219825072886306,490
5,1.7799146274653037,296
6,1.8041765455395873,498
7,1.9717868449318754,532
8,1.0623182222222183,750
9,1.623275334379331,754
10,1.804912082480056,595
11,1.5764136852668664,414
12,1.7473051675281588,459
13,1.9491528092718577,252
14,1.699974048442908,340
15,1.6356749452304389,442
16,1.7808703643110275,379
17,1.3393987578010667,732
18,1.793793402408862,343
19,1.9844865837009042,552
