Year,Month,Value
0,cMajor,262
0,cMinor,21
0,e-Minor,4
0,eMajor,3
0,fMajor,13
0,g#Major,12
0,g#Minor,4
0,gMajor,1
1,aMajor,3
1,bMajor,1
1,cMajor,42
1,dMajor,31
1,dMinor,2
1,e-Major,4
1,e-Minor,1
1,fMajor,2
1,gMajor,132
1,gMinor,22
2,b-Major,16
2,c#Major,3
2,cMajor,19
2,eMajor,7
2,fMajor,5
2,fMinor,10
2,gMajor,140
2,gMinor,3
3,b-Minor,3
3,e-Minor,2
3,gMajor,189
4,cMajor,53
4,cMinor,6
4,dMajor,22
4,fMajor,1
4,fMinor,1
4,gMajor,82
4,gMinor,9
5,cMajor,171
5,e-Minor,2
6,aMajor,33
6,b-Major,19
6,b-Minor,6
6,bMajor,6
6,c#Major,20
6,c#Minor,3
6,cMajor,78
6,cMinor,7
6,dMajor,33
6,dMinor,1
6,e-Major,21
6,e-Minor,9
6,eMajor,16
6,eMinor,1
6,f#Major,15
6,fMajor,12
6,fMinor,12
6,g#Major,14
6,g#Minor,6
6,gMajor,7
6,gMinor,3
7,bMajor,2
7,bMinor,1
7,cMajor,24
7,cMinor,19
7,dMajor,32
7,dMinor,8
7,e-Minor,2
7,eMajor,11
7,fMajor,14
7,g#Major,2
7,gMajor,53
7,gMinor,1
8,aMajor,1
8,b-Major,1
8,cMajor,15
8,cMinor,2
8,fMajor,171
8,g#Minor,9
9,cMajor,224
9,fMajor,1
9,gMajor,17
9,gMinor,8
